Channel              :,CH1
Frequency            :,13.57Hz
Period               :,73.67ms
PK-PK                :,260.0mV
Probe attenuation    :,1X
Voltage per ADC value:,0.250000mV
Time interval        :,100.00000us

index,CH1_Voltage(mV)
1,-12.000000
2,-12.000000
3,8.000000
4,0.000000
5,24.000000
6,-40.000000
7,8.000000
8,44.000000
9,56.000000
10,12.000000
11,8.000000
12,-4.000000
13,24.000000
14,88.000000
15,12.000000
16,0.000000
17,0.000000
18,16.000000
19,8.000000
20,-12.000000
21,-8.000000
22,20.000000
23,20.000000
24,0.000000
25,-52.000000
26,24.000000
27,-8.000000
28,-12.000000
29,0.000000
30,16.000000
31,-44.000000
32,40.000000
33,8.000000
34,-16.000000
35,4.000000
36,-20.000000
37,-32.000000
38,8.000000
39,4.000000
40,-8.000000
41,0.000000
42,4.000000
43,-8.000000
44,4.000000
45,-56.000000
46,0.000000
47,40.000000
48,20.000000
49,-8.000000
50,-40.000000
51,-4.000000
52,-12.000000
53,0.000000
54,-8.000000
55,0.000000
56,0.000000
57,-20.000000
58,-64.000000
59,-8.000000
60,-28.000000
61,4.000000
62,-16.000000
63,-8.000000
64,12.000000
65,-16.000000
66,24.000000
67,-36.000000
68,28.000000
69,4.000000
70,-28.000000
71,-8.000000
72,-8.000000
73,-16.000000
74,-32.000000
75,-24.000000
76,20.000000
77,-4.000000
78,20.000000
79,-20.000000
80,-48.000000
81,-48.000000
82,-12.000000
83,-20.000000
84,4.000000
85,-8.000000
86,28.000000
87,16.000000
88,-4.000000
89,12.000000
90,-4.000000
91,-16.000000
92,-8.000000
93,24.000000
94,20.000000
95,0.000000
96,0.000000
97,12.000000
98,0.000000
99,20.000000
100,-36.000000
101,-12.000000
102,-16.000000
103,-24.000000
104,32.000000
105,0.000000
106,60.000000
107,-24.000000
108,4.000000
109,-8.000000
110,-40.000000
111,-12.000000
112,4.000000
113,4.000000
114,-44.000000
115,0.000000
116,0.000000
117,8.000000
118,0.000000
119,40.000000
120,44.000000
121,-12.000000
122,0.000000
123,24.000000
124,-20.000000
125,24.000000
126,-8.000000
127,-24.000000
128,20.000000
129,20.000000
130,-24.000000
131,20.000000
132,12.000000
133,4.000000
134,-28.000000
135,-8.000000
136,8.000000
137,8.000000
138,20.000000
139,16.000000
140,-44.000000
141,8.000000
142,0.000000
143,-12.000000
144,-24.000000
145,12.000000
146,20.000000
147,-16.000000
148,-12.000000
149,-20.000000
150,12.000000
151,-20.000000
152,16.000000
153,0.000000
154,-32.000000
155,-20.000000
156,8.000000
157,12.000000
158,-8.000000
159,16.000000
160,-8.000000
161,28.000000
162,-12.000000
163,-4.000000
164,8.000000
165,48.000000
166,0.000000
167,-16.000000
168,24.000000
169,0.000000
170,-24.000000
171,12.000000
172,12.000000
173,-24.000000
174,-24.000000
175,-4.000000
176,16.000000
177,12.000000
178,-12.000000
179,16.000000
180,-24.000000
181,-24.000000
182,0.000000
183,16.000000
184,0.000000
185,0.000000
186,0.000000
187,44.000000
188,-32.000000
189,44.000000
190,-4.000000
191,-32.000000
192,-12.000000
193,-8.000000
194,20.000000
195,-8.000000
196,-32.000000
197,8.000000
198,-16.000000
199,-32.000000
200,16.000000
201,-100.000000
202,0.000000
203,-8.000000
204,-24.000000
205,-8.000000
206,-32.000000
207,4.000000
208,20.000000
209,-36.000000
210,-36.000000
211,20.000000
212,-4.000000
213,0.000000
214,84.000000
215,-32.000000
216,-8.000000
217,-24.000000
218,0.000000
219,-48.000000
220,-28.000000
221,16.000000
222,-20.000000
223,-16.000000
224,-24.000000
225,-8.000000
226,0.000000
227,-16.000000
228,12.000000
229,12.000000
230,-24.000000
231,80.000000
232,20.000000
233,0.000000
234,-8.000000
235,12.000000
236,-8.000000
237,-20.000000
238,-12.000000
239,-16.000000
240,-20.000000
241,4.000000
242,-4.000000
243,12.000000
244,20.000000
245,40.000000
246,44.000000
247,-20.000000
248,-12.000000
249,8.000000
250,-4.000000
251,-8.000000
252,0.000000
253,0.000000
254,16.000000
255,8.000000
256,-8.000000
257,-8.000000
258,-8.000000
259,28.000000
260,-28.000000
261,-4.000000
262,-16.000000
263,-8.000000
264,-16.000000
265,0.000000
266,-32.000000
267,44.000000
268,24.000000
269,-16.000000
270,-24.000000
271,28.000000
272,-8.000000
273,16.000000
274,20.000000
275,-4.000000
276,8.000000
277,-36.000000
278,44.000000
279,8.000000
280,20.000000
281,-12.000000
282,12.000000
283,-8.000000
284,52.000000
285,-48.000000
286,0.000000
287,-44.000000
288,16.000000
289,-32.000000
290,-8.000000
291,-20.000000
292,32.000000
293,4.000000
294,-8.000000
295,-12.000000
296,12.000000
297,-20.000000
298,-12.000000
299,-12.000000
300,-32.000000
301,-28.000000
302,28.000000
303,-20.000000
304,-16.000000
305,-8.000000
306,-4.000000
307,-16.000000
308,-16.000000
309,-32.000000
310,0.000000
311,-28.000000
312,-28.000000
313,-28.000000
314,-40.000000
315,-20.000000
316,4.000000
317,-20.000000
318,4.000000
319,-32.000000
320,-16.000000
321,-12.000000
322,-20.000000
323,4.000000
324,-8.000000
325,-8.000000
326,-40.000000
327,8.000000
328,40.000000
329,4.000000
330,-8.000000
331,-24.000000
332,-36.000000
333,-8.000000
334,-28.000000
335,-24.000000
336,0.000000
337,-16.000000
338,-36.000000
339,68.000000
340,-16.000000
341,-32.000000
342,-16.000000
343,-16.000000
344,24.000000
345,-8.000000
346,-8.000000
347,76.000000
348,4.000000
349,-24.000000
350,12.000000
351,-8.000000
352,12.000000
353,-24.000000
354,28.000000
355,4.000000
356,-20.000000
357,28.000000
358,-24.000000
359,-32.000000
360,24.000000
361,-24.000000
362,0.000000
363,0.000000
364,-8.000000
365,-4.000000
366,-16.000000
367,-12.000000
368,-32.000000
369,-40.000000
370,16.000000
371,12.000000
372,44.000000
373,0.000000
374,-44.000000
375,24.000000
376,0.000000
377,48.000000
378,-36.000000
379,-52.000000
380,24.000000
381,16.000000
382,12.000000
383,-8.000000
384,16.000000
385,16.000000
386,32.000000
387,8.000000
388,-8.000000
389,-52.000000
390,8.000000
391,12.000000
392,8.000000
393,8.000000
394,-28.000000
395,-4.000000
396,40.000000
397,24.000000
398,-44.000000
399,20.000000
400,4.000000
401,-32.000000
402,4.000000
403,-20.000000
404,-8.000000
405,40.000000
406,16.000000
407,-8.000000
408,-28.000000
409,52.000000
410,44.000000
411,24.000000
412,28.000000
413,16.000000
414,-12.000000
415,4.000000
416,-8.000000
417,-4.000000
418,-12.000000
419,-12.000000
420,0.000000
421,4.000000
422,0.000000
423,8.000000
424,4.000000
425,8.000000
426,0.000000
427,-56.000000
428,-48.000000
429,-12.000000
430,-100.000000
431,-16.000000
432,-8.000000
433,16.000000
434,0.000000
435,-12.000000
436,-12.000000
437,4.000000
438,52.000000
439,24.000000
440,12.000000
441,4.000000
442,0.000000
443,-8.000000
444,20.000000
445,-8.000000
446,-8.000000
447,-8.000000
448,-36.000000
449,-12.000000
450,-4.000000
451,-4.000000
452,-32.000000
453,-8.000000
454,4.000000
455,-20.000000
456,28.000000
457,-16.000000
458,40.000000
459,-64.000000
460,12.000000
461,8.000000
462,-8.000000
463,-28.000000
464,-24.000000
465,-32.000000
466,-12.000000
467,52.000000
468,0.000000
469,4.000000
470,-8.000000
471,-4.000000
472,24.000000
473,8.000000
474,8.000000
475,-12.000000
476,-28.000000
477,44.000000
478,4.000000
479,4.000000
480,52.000000
481,-24.000000
482,-24.000000
483,8.000000
484,84.000000
485,-16.000000
486,8.000000
487,-28.000000
488,-40.000000
489,-28.000000
490,-4.000000
491,0.000000
492,20.000000
493,-20.000000
494,-4.000000
495,120.000000
496,-24.000000
497,44.000000
498,20.000000
499,32.000000
500,40.000000
501,32.000000
502,24.000000
503,24.000000
504,-24.000000
505,4.000000
506,8.000000
507,24.000000
508,56.000000
509,-52.000000
510,-28.000000
511,-28.000000
512,-12.000000
513,24.000000
514,-12.000000
515,-28.000000
516,0.000000
517,-12.000000
518,-16.000000
519,-20.000000
520,-8.000000
521,-24.000000
522,16.000000
523,-8.000000
524,44.000000
525,4.000000
526,8.000000
527,-28.000000
528,0.000000
529,36.000000
530,4.000000
531,4.000000
532,56.000000
533,4.000000
534,-8.000000
535,4.000000
536,4.000000
537,16.000000
538,-8.000000
539,-8.000000
540,-16.000000
541,12.000000
542,-24.000000
543,16.000000
544,-12.000000
545,12.000000
546,-60.000000
547,-20.000000
548,-20.000000
549,0.000000
550,0.000000
551,24.000000
552,-24.000000
553,0.000000
554,52.000000
555,8.000000
556,-48.000000
557,-32.000000
558,-40.000000
559,-20.000000
560,4.000000
561,8.000000
562,4.000000
563,4.000000
564,-48.000000
565,16.000000
566,60.000000
567,-24.000000
568,-28.000000
569,28.000000
570,-24.000000
571,8.000000
572,72.000000
573,-48.000000
574,-16.000000
575,-8.000000
576,-8.000000
577,-8.000000
578,-40.000000
579,-4.000000
580,-20.000000
581,0.000000
582,-32.000000
583,-8.000000
584,-24.000000
585,16.000000
586,-12.000000
587,4.000000
588,-16.000000
589,-16.000000
590,-16.000000
591,0.000000
592,-32.000000
593,-32.000000
594,-20.000000
595,-80.000000
596,4.000000
597,52.000000
598,8.000000
599,0.000000
600,-32.000000
601,-28.000000
602,12.000000
603,-12.000000
604,44.000000
605,-32.000000
606,24.000000
607,8.000000
608,-4.000000
609,-24.000000
610,28.000000
611,20.000000
612,12.000000
613,24.000000
614,-32.000000
615,16.000000
616,0.000000
617,-40.000000
618,4.000000
619,-28.000000
620,-8.000000
621,20.000000
622,12.000000
623,8.000000
624,0.000000
625,-8.000000
626,8.000000
627,-32.000000
628,-16.000000
629,-40.000000
630,40.000000
631,-20.000000
632,0.000000
633,0.000000
634,-60.000000
635,-20.000000
636,52.000000
637,-8.000000
638,4.000000
639,28.000000
640,16.000000
641,52.000000
642,0.000000
643,0.000000
644,12.000000
645,8.000000
646,8.000000
647,-28.000000
648,24.000000
649,4.000000
650,-36.000000
651,4.000000
652,20.000000
653,20.000000
654,0.000000
655,-20.000000
656,-52.000000
657,-20.000000
658,44.000000
659,12.000000
660,40.000000
661,4.000000
662,0.000000
663,-40.000000
664,-8.000000
665,-12.000000
666,-60.000000
667,-20.000000
668,0.000000
669,-24.000000
670,-20.000000
671,-16.000000
672,-24.000000
673,4.000000
674,-8.000000
675,-24.000000
676,28.000000
677,-16.000000
678,-32.000000
679,-28.000000
680,68.000000
681,-12.000000
682,72.000000
683,64.000000
684,-32.000000
685,-12.000000
686,-20.000000
687,44.000000
688,0.000000
689,-32.000000
690,-12.000000
691,-20.000000
692,-24.000000
693,4.000000
694,60.000000
695,8.000000
696,-16.000000
697,-12.000000
698,0.000000
699,0.000000
700,0.000000
701,16.000000
702,-8.000000
703,-20.000000
704,-40.000000
705,20.000000
706,-48.000000
707,-40.000000
708,32.000000
709,4.000000
710,-4.000000
711,-28.000000
712,-8.000000
713,32.000000
714,12.000000
715,-8.000000
716,16.000000
717,-8.000000
718,-20.000000
719,0.000000
720,20.000000
721,24.000000
722,28.000000
723,-16.000000
724,16.000000
725,-24.000000
726,16.000000
727,8.000000
728,24.000000
729,20.000000
730,4.000000
731,4.000000
732,0.000000
733,56.000000
734,44.000000
735,-16.000000
736,4.000000
737,24.000000
738,16.000000
739,16.000000
740,-12.000000
741,-20.000000
742,0.000000
743,-32.000000
744,8.000000
745,8.000000
746,24.000000
747,12.000000
748,12.000000
749,32.000000
750,-28.000000
751,12.000000
752,24.000000
753,40.000000
754,20.000000
755,-4.000000
756,-4.000000
757,-12.000000
758,-4.000000
759,-4.000000
760,12.000000
761,-8.000000
762,-8.000000
763,-24.000000
764,16.000000
765,-24.000000
766,-80.000000
767,-8.000000
768,-28.000000
769,-36.000000
770,-20.000000
771,28.000000
772,24.000000
773,-52.000000
774,0.000000
775,0.000000
776,-8.000000
777,0.000000
778,-8.000000
779,-28.000000
780,8.000000
